epoch,train_loss,val_loss,val_acc,val_auc
1,0.6974,0.6565,0.5887,0.6673
2,0.6696,0.6356,0.6290,0.6935
3,0.6444,0.6211,0.6210,0.7125
4,0.5756,0.6047,0.6532,0.7375
5,0.5914,0.5627,0.7016,0.7807
6,0.4647,0.5716,0.7177,0.7713
7,0.5098,0.5929,0.6613,0.7776
8,0.5176,0.6304,0.6532,0.7794
9,0.4658,0.5858,0.6774,0.7700
10,0.4725,0.6196,0.6613,0.7755
11,0.4615,0.5915,0.7177,0.7997
12,0.3956,0.5601,0.7177,0.7973
13,0.4135,0.6517,0.6452,0.8005
14,0.4038,0.5229,0.7097,0.8192
15,0.4380,0.7482,0.6048,0.8252
16,0.4525,0.5266,0.7016,0.8132
17,0.3975,0.6071,0.6935,0.8010
18,0.4310,0.5859,0.6613,0.8176
19,0.4615,0.5836,0.6774,0.7984
20,0.3573,0.5616,0.6935,0.8007
21,0.4128,0.6285,0.6694,0.8213
22,0.3908,0.5626,0.6935,0.8338
23,0.3649,0.6286,0.6532,0.8046
24,0.4738,0.5897,0.7016,0.8463
25,0.3598,0.6584,0.6935,0.8223
26,0.3277,0.7595,0.6694,0.8314
27,0.3836,0.7328,0.6774,0.8416
28,0.3248,0.5517,0.7016,0.8470
29,0.3054,0.7288,0.6855,0.8400
